app_name,os,audience_name,audience_id,estimated_count,status
MONOPOLY Poker - The Official Texas Holdem Online,Android,US_Android_MONOPOLY Poker The Official Texas Holdem Online_PIE,6962647955035,0,⚠ Empty
Poker Championship online,Android,US_Android_Poker Championship online_PIE,6962648169035,0,⚠ Empty
Poker Live,Android,US_Android_Poker Live_PIE,6962648426635,0,⚠ Empty
Video Poker by Pokerist,iOS,US_iOS_Video Poker by Pokerist_PIE,6962648675035,0,⚠ Empty
Texas Holdem Poker: Pokerist,Android,US_Android_Texas Holdem Poker Pokerist_PIE,6962648914435,0,⚠ Empty
Video Poker Classic Free,Android,US_Android_Video Poker Classic Free_PIE,6962649201635,0,⚠ Empty
Scatter HoldEm Poker - Texas Holdem Online Poker,Android,US_Android_Scatter HoldEm Poker Texas Holdem Online Poker_PIE,6962649477835,0,⚠ Empty
Ultimate X Poker™ - Video Poker,Android,US_Android_Ultimate X Poker Video Poker_PIE,6962650256835,0,⚠ Empty
Vegas Craps by Pokerist,Android,US_Android_Vegas Craps by Pokerist_PIE,6962651832035,0,⚠ Empty
DH Texas Poker - Texas Hold'em,Android,US_Android_DH Texas Poker Texas Hold'em_PIE,6962652554035,0,⚠ Empty
Governor of Poker 3 -  Online,Android,US_Android_Governor of Poker 3 Online_PIE,6962653035435,0,⚠ Empty
Poker Championship - Holdem,Android,US_Android_Poker Championship Holdem_PIE,6962653272635,0,⚠ Empty
Video Poker Deluxe Casino,Android,US_Android_Video Poker Deluxe Casino_PIE,6962655522035,0,⚠ Empty
VIDEO POKER OFFLINE FREE!,Android,US_Android_VIDEO POKER OFFLINE FREE_PIE,6962657522235,0,⚠ Empty
Svara - 3 Card Poker Online Card Game,iOS,US_iOS_Svara 3 Card Poker Online Card Game_PIE,6962658050235,0,⚠ Empty
Mega Hit Poker: Texas Holdem,Android,US_Android_Mega Hit Poker Texas Holdem_PIE,6962658181035,0,⚠ Empty
Video Poker Multi Pro Casino,iOS,US_iOS_Video Poker Multi Pro Casino_PIE,6962658408235,0,⚠ Empty
Coin Dozer: Casino,Android,US_Android_Coin Dozer Casino_PIE,6962658685835,0,⚠ Empty
Game of Coinball,Android,US_Android_Game of Coinball_PIE,6962659051235,0,⚠ Empty
COIN,Android,US_Android_COIN_PIE,6962660226435,0,⚠ Empty
Piggy GO - Clash of Coin,Android,US_Android_Piggy GO Clash of Coin_PIE,6962661123835,0,⚠ Empty
COIN: Always Be Earning,Android,US_Android_COIN Always Be Earning_PIE,6962663364035,0,⚠ Empty
Cool Match Game: Coinnect™ Earn Real Rewards,Android,US_Android_Cool Match Game Coinnect Earn Real Rewards_PIE,6962663941035,0,⚠ Empty
Coin Dozer - Free Prizes,Android,US_Android_Coin Dozer Free Prizes_PIE,6962664292035,0,⚠ Empty
Island King - Coin Adventure,iPadOS,US_iPadOS_Island King Coin Adventure_PIE,6962664625035,0,⚠ Empty
Coin Dozer,iOS,US_iOS_Coin Dozer_PIE,6962665047235,0,⚠ Empty
Time Master - Coin Adventure,Android,US_Android_Time Master Coin Adventure_PIE,6962665362835,0,⚠ Empty
Coin Master,Android,US_Android_Coin Master_PIE,6962665554835,0,⚠ Empty
Coin Rush!,Android,US_Android_Coin Rush_PIE,6962665939835,0,⚠ Empty
Age of Coins: War Master,iOS,US_iOS_Age of Coins War Master_PIE,6962666226235,0,⚠ Empty
